ID,displacement,max_displacement,min_displacement,velocity,max_velocity,min_velocity
0,6.057468575,34.17421321,0.101216599,96.9194972,546.7874114,1.619465591
3,4.936785959,64.22564855,0.100521689,78.98857534,1027.610377,1.608347027
6,3.43475309,36.36667845,0.059077661,54.95604944,581.8668552,0.945242572
9,3.366536431,23.011231,0.054114785,53.8645829,368.179696,0.865836567
10,14.66359301,20.59200545,8.735180571,234.6174881,329.4720872,139.7628891
12,9.89099904,9.89099904,9.89099904,158.2559846,158.2559846,158.2559846
13,6.326434685,30.54600228,0.139592836,101.222955,488.7360365,2.233485384
15,3.688676309,30.91273928,0.122781445,59.01882094,494.6038285,1.964503112
16,4.775428419,28.89887919,0.194278692,76.4068547,462.3820671,3.108459065
18,3.325175432,28.72610797,0.13479822,53.20280692,459.6177276,2.156771513
19,2.488974754,57.61607751,0.01761505,39.82359607,921.8572402,0.281840806
21,1.716889092,16.08172876,0.0480404,27.47022548,257.3076602,0.768646395
